date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:17	184/184	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Jun%202018%2015:09:11%20GMT	https://www.organisationsolutions.com/MicrosoftAjaxNetwork.js	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/MicrosoftAjaxNetwork.5d.delayed	(from https://www.organisationsolutions.com/Telerik.Web.UI.WebResource.axd?_TSM_HiddenField_=ctl10_TSM&compress=0&_TSM_CombinedScripts_=%3b%3bSystem.Web.Extensions%2c+Version%3d4.0.0.0%2c+Culture%3dneutral%2c+PublicKeyToken%3d31bf3856ad364e35%3aen%3a4bd8faf8-554d-46be-b2ff-c9d57adb612c%3aea597d4b%3ab25378d2)
17:08:18	121/121	---M--	302	error ('Found')	text/html	date:Wed,%2013%20Jun%202018%2015:09:12%20GMT	https://www.organisationsolutions.com/microsoftajaxnetwork.js	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/microsoftajaxnetwork.5e.delayed	(from https://www.organisationsolutions.com/Telerik.Web.UI.WebResource.axd?_TSM_HiddenField_=ctl10_TSM&compress=0&_TSM_CombinedScripts_=%3b%3bSystem.Web.Extensions%2c+Version%3d4.0.0.0%2c+Culture%3dneutral%2c+PublicKeyToken%3d31bf3856ad364e35%3aen%3a4bd8faf8-554d-46be-b2ff-c9d57adb612c%3aea597d4b%3ab25378d2)
17:08:20	111810/111810	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Dec%202016%2006:51:22%20GMT	https://www.organisationsolutions.com/images/default-source/page-images/banner-image.jpg?sfvrsn=2	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/images/default-source/page-images/banner-image5eee.jpg	(from https://www.organisationsolutions.com/about/join-our-team)
17:08:22	0/-1	---M--	301	error ('')			https://www.organisationsolutions.com/home	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/home.61.delayed	(from https://www.organisationsolutions.com/about/join-our-team)
17:08:25	96468/96468	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2002%20Feb%202018%2008:02:40%20GMT	https://www.organisationsolutions.com/Sitefinity/WebsiteTemplates/BaseTemplate/App_JS/bundle/jquery.min.js	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/Sitefinity/WebsiteTemplates/BaseTemplate/App_JS/bundle/jquery.min.js	(from https://www.organisationsolutions.com/about/join-our-team)
17:08:28	154053/154053	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2002%20Feb%202018%2008:02:40%20GMT	https://www.organisationsolutions.com/Sitefinity/WebsiteTemplates/BaseTemplate/App_JS/bundle/common.min.js	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/Sitefinity/WebsiteTemplates/BaseTemplate/App_JS/bundle/common.min.js	(from https://www.organisationsolutions.com/about/join-our-team)
17:08:29	3158/3158	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2002%20Feb%202018%2008:02:40%20GMT	https://www.organisationsolutions.com/Sitefinity/WebsiteTemplates/BaseTemplate/App_JS/bundle/join-team.min.js	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/Sitefinity/WebsiteTemplates/BaseTemplate/App_JS/bundle/join-team.min.js	(from https://www.organisationsolutions.com/about/join-our-team)
17:08:30	195/195	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Jun%202018%2015:09:24%20GMT	https://www.organisationsolutions.com/Mvc/Scripts/contactus/contactus.js	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/Mvc/Scripts/contactus/contactus.65.delayed	(from https://www.organisationsolutions.com/about/join-our-team)
17:08:31	3103/3103	---M-Z	200	added ('OK')	application/javascript	etag:%2206c2f88fc60d21:0%22	https://www.organisationsolutions.com/mvc/scripts/contactus/contactus.js	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/mvc/scripts/contactus/contactus.js	(from https://www.organisationsolutions.com/about/join-our-team)
17:08:33	58193/58193	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Dec%202016%2005:19:58%20GMT	https://www.organisationsolutions.com/images/default-source/page-images/contactus.jpg?sfvrsn=6	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/images/default-source/page-images/contactus9e71.jpg	(from https://www.organisationsolutions.com/contact-us)
17:08:33	444757/444757	---M--	200	added ('OK')	application/pdf	date:Mon,%2029%20Jan%202018%2008:38:24%20GMT	https://www.organisationsolutions.com/docs/default-source/opportunity/job-description---business-analyst-and-junior-consultant_19jan2018-docx.pdf?sfvrsn=2	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/docs/default-source/opportunity/job-description---business-analyst-and-junior-consultant_19jan2018-docx5eee.pdf	(from https://www.organisationsolutions.com/about/join-our-team)
17:08:34	0/-1	---M--	301	error ('')			https://www.organisationsolutions.com/home	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/home.69.delayed	(from https://www.organisationsolutions.com/contact-us)
17:08:36	68162/68162	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Sep%202016%2006:45:14%20GMT	https://www.organisationsolutions.com/images/default-source/default-album/image-map.png?sfvrsn=0	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/images/default-source/default-album/image-mapf6a0.png	(from https://www.organisationsolutions.com/contact-us)
17:08:36	3159/3159	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2002%20Feb%202018%2008:02:40%20GMT	https://www.organisationsolutions.com/Sitefinity/WebsiteTemplates/BaseTemplate/App_JS/bundle/contact-us.min.js	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/Sitefinity/WebsiteTemplates/BaseTemplate/App_JS/bundle/contact-us.min.js	(from https://www.organisationsolutions.com/contact-us)
17:08:46	134949/134949	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Aug%202016%2008:44:40%20GMT	https://www.organisationsolutions.com/Sitefinity/WebsiteTemplates/BaseTemplate/App_Themes/BaseTemplate/images/home/bg3.jpg	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/Sitefinity/WebsiteTemplates/BaseTemplate/App_Themes/BaseTemplate/images/home/bg3.jpg	(from https://www.organisationsolutions.com/Sitefinity/WebsiteTemplates/BaseTemplate/App_Themes/BaseTemplate/css/base.css)
17:08:48	506958/506958	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Dec%202016%2006:51:22%20GMT	https://www.organisationsolutions.com/images/default-source/page-images/about-us---1.png?sfvrsn=2	C:/My%20Web%20Sites/ggg/www.organisationsolutions.com/images/default-source/page-images/about-us---15eee.png	(from https://www.organisationsolutions.com/about/about-us)
